Incident_ID, Date, Time, Location, Description, Type_of_Crime, Victim, Perpetrator
481, 2023-01-08, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group UUU
482, 2023-01-07, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
483, 2023-01-06, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
484, 2023-01-05, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
485, 2023-01-04, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
486, 2023-01-03, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
487, 2023-01-02, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
488, 2023-01-01, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group BD
489, 2022-12-31, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group VVV
490, 2022-12-30, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
491, 2022-12-29, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group AAA
492, 2022-12-28, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
493, 2022-12-27, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
494, 2022-12-26, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group RRR
495, 2022-12-25, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
496, 2022-12-24, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group BE
497, 2022-12-23, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group WWW
498, 2022-12-22, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
499, 2022-12-21, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
500, 2022-12-20, 13:40, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee













